,x,y
0,101.63498757172684,-66.75928116542539
1,111.8179867753926,-70.755676492526
2,97.7774691595111,-65.86370743872928
3,-21.077407191622797,-29.41179470166113
4,-19.813465484470306,-33.94816867186553
5,-22.482577953468414,-32.08044608810492
6,87.66275719817361,-44.754146598107184
7,-47.037404183933255,-5.980472309611937
8,-21.891292673441676,-32.440729885476955
9,-34.74496002987376,-11.225265229819549
10,-22.548136027995938,-28.54658612743552
11,102.83708514928998,-65.647596029712
12,-49.05354171799225,-6.998290481143809
13,-44.73718525003194,-7.419909684701923
14,-21.08425026321323,-32.477962004054
15,-44.29199615263026,-9.520847184921399
16,106.4709164702236,-67.36754103561105
17,101.19882493776828,-63.296590601043256
18,-49.27630473131212,-4.2357117475565405
19,103.11501783364929,-67.11184748651823
20,-47.01108683887601,-5.801428258084668
21,-24.54339698011744,-28.798856652759074
22,77.59467866276542,-46.02590272993361
23,-18.882415625847585,-31.642717348136014
24,-22.376907415401778,-32.1237755552897
25,-25.039609254089076,-30.743973035124235
26,-43.90221965558322,-10.230080498418616
27,-48.22750840632394,-6.506203440714016
28,-19.801539733572373,-34.070988301988095
29,-47.63712289921263,-8.512624171681415
30,-48.88257296815788,-5.3517178603021
31,-20.170683375548,-32.70506686053011
32,98.33544678967942,-63.94304310420324
33,-41.06197778133847,-9.43268820425431
34,-44.1025109933317,-8.631931721373277
35,-48.14979635977343,-5.672622176416302
36,-43.749228983562304,-6.443099942522485
37,-43.718493419115056,-9.611781579560848
38,-19.589405503813406,-32.85531218910294
39,-18.912971731774174,-33.050478325868944
40,-23.428814359476668,-30.112947451496265
41,99.77245874430815,-66.22406179333753
42,-46.6456654657284,-3.9740403175411396
43,-48.760225824820445,-6.6464629892268645
44,-20.531875399786557,-30.66181903952845
45,-48.01753192681621,-3.1469045886228963
46,-42.63071807687243,-5.078414080042049
47,-21.905700923546004,-35.17894374819293
48,104.13145640324424,-67.37253920663262
49,-42.44894589012106,-8.220702340447541
50,-44.81014572516237,-5.681697479336844
51,-48.71088701228844,-5.702495082917086
52,-24.260055103104097,-32.88940955333987
53,-16.903872534150143,-30.046616138683543
54,-45.92293670453637,-4.172106595145594
55,100.78631757126568,-63.62048483131184
56,87.0687779894741,-42.99055332407111
57,-44.950538820376266,-6.725078200573182
58,98.04739369956916,-65.76132536718013
59,-45.9256671300653,-7.238282656823846
60,80.25411113247641,-43.40339569211591
61,-19.633088702767424,-32.928385521313096
62,98.3289260235624,-68.76819007456129
63,99.20662943518477,-66.1906418440471
64,103.26313241907778,-67.14606878676538
65,-20.840729266280224,-31.92890550968371
66,-46.68445953627177,-6.242742968307829
67,-40.79157481457935,-4.95914545738436
68,98.37757645327869,-62.99306556947775
69,-47.33279763347279,-6.85749117528741
70,102.60163959046619,-67.03366276820087
71,-47.66040174154262,-6.640674100743687
72,-25.16396479855783,-28.024164327087878
73,-25.753460082282068,-30.377544251561655
74,-19.83945360797428,-33.21211383530063
75,-47.72238437378762,-7.656964217973209
76,-46.97562290493148,-3.9305521692231986
77,-25.061111695549403,-27.823351837888797
78,-20.323113103001777,-31.604120140975493
79,-47.407815713164474,-3.4127992860026
80,73.75333157705461,-39.053609717865854
81,74.46473468835147,-43.49637453666483
82,-20.742063970020663,-31.176873710108286
83,-26.02734849992993,-33.35492074124289
84,-22.342051992042684,-32.13024587299169
85,100.47236744868425,-63.11188987756592
86,-23.154100344047023,-30.816626024585734
87,100.364397846544,-66.37336103205466
88,-21.615482676537866,-32.319011981639434
89,-46.44380450121591,-3.7434811521670577
90,-48.1452592970886,-10.243400234819529
91,-23.538495177893616,-31.682552717383466
92,103.45062093505912,-64.25854388475047
93,-24.848854957307584,-31.474395441945703
94,-22.624845666774267,-32.05021304933511
95,-44.65372976328758,-4.216612959901657
96,79.86122411024691,-42.29146086682575
97,77.08481494460396,-39.82132309199848
98,-46.236235461285425,-3.8076631143199586
99,-23.767642811439625,-30.979737088464507
